Measurement,Value (inches)
Height (inches),72.0
Torso Height (inches),23.603472500038894
Torso Width (inches),16.99389433091162
Torso Depth (inches),16.99389433091162
Upper Arm Length Left (inches),13.205496424858636
Lower Arm Length Left (inches),12.189685005448643
Upper Arm Length Right (inches),13.965785608668655
Lower Arm Length Right (inches),11.624554035536494
Upper Arm Width Left (inches),24.830333443817544
Upper Arm Width Right (inches),25.13615631359248
Upper Arm Depth Left (inches),24.830333443817544
Lower Arm Depth Left (inches),24.830333443817544
Upper Arm Depth Right (inches),25.13615631359248
Lower Arm Depth Right (inches),25.13615631359248
Upper Leg Length Left (inches),17.838569100028
Lower Leg Length Left (inches),15.505768578667404
Upper Leg Length Right (inches),18.115744689485894
Lower Leg Length Right (inches),15.147378779628102
